0 0 3 13 9 2 0 0 0 0 5 16 16 7 0 0 0 0 10 16 16 0 0 0 0 1 15 16 14 1 0 0 0 6 16 16 14 0 0 0 0 0 12 16 10 0 0 0 0 0 7 16 14 0 0 0 0 0 3 15 16 12 0 0 1 
0 4 15 16 7 0 0 0 0 4 16 11 16 2 0 0 0 2 6 4 16 3 0 0 0 0 0 1 16 4 0 0 0 0 0 8 14 1 0 0 0 0 2 15 10 0 0 0 0 3 15 16 13 12 11 0 0 5 16 16 15 12 12 0 2 
0 0 9 14 15 4 0 0 0 0 16 9 9 16 0 0 0 0 0 1 13 12 0 0 0 0 2 15 16 3 0 0 0 0 2 12 12 12 1 0 0 0 0 0 0 9 9 0 0 0 14 9 5 13 12 0 0 0 9 16 16 14 1 0 3 
0 0 0 1 13 13 0 0 0 0 5 15 15 16 0 0 0 3 15 8 7 14 0 0 0 11 15 9 15 16 9 0 0 8 16 14 15 15 5 0 0 0 0 0 12 8 0 0 0 0 0 0 12 6 0 0 0 0 0 0 12 4 0 0 4 
0 0 7 14 15 13 10 0 0 1 14 8 3 0 2 0 0 4 16 10 15 6 0 0 0 4 16 12 11 16 3 0 0 2 7 0 0 12 6 0 0 0 0 0 1 14 3 0 0 0 9 9 11 12 0 0 0 0 8 13 8 0 0 0 5 
0 0 0 11 9 0 0 0 0 0 6 16 8 0 0 0 0 0 13 12 0 0 0 0 0 0 16 6 4 2 0 0 0 0 16 16 15 15 4 0 0 0 15 6 0 0 15 1 0 0 9 13 0 6 14 5 0 0 0 9 16 16 10 0 6 
0 0 2 8 11 16 16 14 0 0 10 15 10 11 16 7 0 0 0 0 0 13 9 0 0 0 4 8 11 16 4 0 0 0 13 16 16 11 5 0 0 0 0 4 16 1 0 0 0 0 0 12 11 0 0 0 0 0 0 15 5 0 0 0 7 
0 0 8 13 12 2 0 0 0 4 16 3 2 13 0 0 0 10 13 5 12 12 0 0 0 5 14 16 16 3 0 0 0 0 8 15 9 9 0 0 0 0 12 6 0 8 5 0 0 0 11 8 4 12 6 0 0 0 5 12 13 10 0 0 8 
0 0 0 4 13 12 1 0 0 0 3 16 9 15 14 2 0 0 14 8 2 10 14 0 0 3 16 12 13 16 7 0 0 0 8 3 2 16 2 0 0 0 0 0 8 12 0 0 0 0 0 0 14 6 0 0 0 0 0 3 14 2 0 0 9 
0 0 4 14 10 0 0 0 0 3 16 9 8 7 0 0 0 8 16 0 2 11 0 0 0 6 14 0 0 6 6 0 0 5 14 0 0 3 9 0 0 0 15 1 0 5 13 0 0 0 12 9 2 13 10 0 0 0 2 14 15 10 1 0 0 
